序号,车型,销量,厂商,价格,参数链接,月份,均值
5,宋PLUS新能源,20722,比亚迪,12.98 - 18.98,,202201,35042.34286
3,宋PLUS新能源,22756,比亚迪,12.98 - 18.98,,202202,35042.34286
3,宋PLUS新能源,26729,比亚迪,12.98 - 18.98,,202203,35042.34286
2,宋PLUS新能源,25108,比亚迪,12.98 - 18.98,,202204,35042.34286
2,宋PLUS新能源,31989,比亚迪,12.98 - 18.98,,202205,35042.34286
3,宋PLUS新能源,32077,比亚迪,12.98 - 18.98,,202206,35042.34286
2,宋PLUS新能源,38697,比亚迪,12.98 - 18.98,,202207,35042.34286
3,宋PLUS新能源,42500,比亚迪,12.98 - 18.98,,202208,35042.34286
2,宋PLUS新能源,46475,比亚迪,12.98 - 18.98,,202209,35042.34286
1,宋PLUS新能源,56843,比亚迪,12.98 - 18.98,,202210,35042.34286
3,宋PLUS新能源,64145,比亚迪,12.98 - 18.98,,202211,35042.34286
2,宋PLUS新能源,50006,比亚迪,12.98 - 18.98,,202212,35042.34286
1,宋PLUS新能源,35585,比亚迪,12.98 - 18.98,,202301,35042.34286
1,宋PLUS新能源,37153,比亚迪,12.98 - 18.98,,202302,35042.34286
3,宋PLUS新能源,30088,比亚迪,12.98 - 18.98,,202303,35042.34286
5,宋PLUS新能源,24580,比亚迪,12.98 - 18.98,,202304,35042.34286
5,宋PLUS新能源,22079,比亚迪,12.98 - 18.98,,202305,35042.34286
3,宋PLUS新能源,27041,比亚迪,12.98 - 18.98,,202306,35042.34286
2,宋PLUS新能源,29991,比亚迪,12.98 - 18.98,,202307,35042.34286
4,宋PLUS新能源,32850,比亚迪,12.98 - 18.98,,202308,35042.34286
3,宋PLUS新能源,36773,比亚迪,12.98 - 18.98,,202309,35042.34286
3,宋PLUS新能源,34799,比亚迪,12.98 - 18.98,,202310,35042.34286
4,宋PLUS新能源,34904,比亚迪,12.98 - 18.98,,202311,35042.34286
2,宋PLUS新能源,44370,比亚迪,12.98 - 18.98,,202312,35042.34286
1,宋PLUS新能源,32267,比亚迪,12.98 - 18.98,,202401,35042.34286
5,宋PLUS新能源,12693,比亚迪,12.98 - 18.98,,202402,35042.34286
3,宋PLUS新能源,35176,比亚迪,12.98 - 18.98,,202403,35042.34286
2,宋PLUS新能源,31809,比亚迪,12.98 - 18.98,,202404,35042.34286
4,宋PLUS新能源,33422,比亚迪,12.98 - 18.98,,202405,35042.34286
4,宋PLUS新能源,32911,比亚迪,12.98 - 18.98,,202406,35042.34286
4,宋PLUS新能源,34306,比亚迪,12.98 - 18.98,,202407,35042.34286
4,宋PLUS新能源,39799,比亚迪,12.98 - 18.98,,202408,35042.34286
3,宋PLUS新能源,42382,比亚迪,12.98 - 18.98,,202409,35042.34286
2,宋PLUS新能源,43192,比亚迪,12.98 - 18.98,,202410,35042.34286
3,宋PLUS新能源,40265,比亚迪,12.98 - 18.98,,202411,35042.34286
4,秦PLUS,25535,比亚迪,7.98 - 17.98,,202201,33966.02857
4,秦PLUS,22508,比亚迪,7.98 - 17.98,,202202,33966.02857
5,秦PLUS,22942,比亚迪,7.98 - 17.98,,202203,33966.02857
3,秦PLUS,20292,比亚迪,7.98 - 17.98,,202204,33966.02857
5,秦PLUS,17943,比亚迪,7.98 - 17.98,,202205,33966.02857
6,秦PLUS,23380,比亚迪,7.98 - 17.98,,202206,33966.02857
3,秦PLUS,30093,比亚迪,7.98 - 17.98,,202207,33966.02857
4,秦PLUS,35689,比亚迪,7.98 - 17.98,,202208,33966.02857
4,秦PLUS,36058,比亚迪,7.98 - 17.98,,202209,33966.02857
4,秦PLUS,32195,比亚迪,7.98 - 17.98,,202210,33966.02857
8,秦PLUS,25498,比亚迪,7.98 - 17.98,,202211,33966.02857
7,秦PLUS,23149,比亚迪,7.98 - 17.98,,202212,33966.02857
9,秦PLUS,11590,比亚迪,7.98 - 17.98,,202301,33966.02857
3,秦PLUS,27434,比亚迪,7.98 - 17.98,,202302,33966.02857
